,Truth,Coef,Std.Err,z,P-value,[0.025,0.975]
X1,-1.5,-0.6315579635239363,0.46198256563864565,-1.367060167413178,0.17160644719533535,-1.5370271608033188,0.2739112337554461
X2,0.1,0.5846190181250175,0.9731904810959487,0.6007241434037195,0.5480237355733708,-1.3227992899657226,2.4920373262157574
X3,-0.5,-0.8159484475056991,0.750039645737156,-1.0878737572648796,0.2766508427307097,-2.2859991517232783,0.6541022567118802
X4,-0.3,-0.12801200916944744,0.6024461680450314,-0.21248705022865852,0.8317270795454832,-1.3087848104756594,1.0527607921367645
X5,0.4,0.5400336432718896,0.5987966905522154,0.9018647761293838,0.36712870471145564,-0.6335863135295926,1.7136536000733718
X6,-0.2,-0.4308022411686737,0.30500996989310286,-1.4124201950502058,0.15782627358836576,-1.0286108018002391,0.1670063194628918
X7,-0.25,-0.16256740564460703,0.24091264841974128,-0.6747981341409954,0.49980402599911544,-0.6347475236919569,0.3096127124027428
X8,0.35,-0.6121249998847208,1.0805364389407701,-0.5665010246991538,0.5710532365579205,-2.7299375208968284,1.5056875211273866
X9,-0.1,0.06732240737258123,0.7843680357425628,0.08583012604388829,0.9316014577193156,-1.470010705433555,1.6046555201787176
X10,0.5,-0.13403840238495568,0.5198456394575655,-0.25784269831486606,0.796528309844371,-1.1529171412787635,0.8848403365088522
