,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,-0.33953246752259114,-0.5498995046869181,3.0015994708723897e-07,0.10733209240798654,-1.5,-0.760266541851245,-5.123346543889796
X2,0.5036780181767975,0.0256135946017354,0.9163675779456519,0.24391490026095486,0.1,-0.4524508289733267,0.10501037277481791
X3,-0.16200419832502866,-0.48897414292564645,0.0033779691631343005,0.1668244644292537,-0.5,-0.8159440875262642,-2.9310697600531412
X4,-0.18895238587028096,-0.47146762465164715,0.0010723201087316366,0.14414307547555272,-0.3,-0.7539828634330134,-3.270830895595884
X5,0.44857281497624446,0.16871174050238755,0.23738560058429692,0.14278888513965404,0.4,-0.11114933397146934,1.181546731297606
X6,-0.09361165186473411,-0.23484532898938673,0.001117838026725197,0.07205932207155469,-0.2,-0.3760790061140393,-3.2590554870358903
X7,-0.07194179453336276,-0.17159551558958053,0.00073843352631834,0.05084466911444178,-0.25,-0.2712492366457983,-3.374896888469297
X8,0.5717127353192877,0.08865936626392334,0.7190484703384352,0.24646032736079043,0.35,-0.39439400279144093,0.35973078188010327
X9,0.15254354514781715,-0.20663962384355228,0.2594991415862965,0.18326008487470657,-0.1,-0.5658227928349218,-1.127575729242023
X10,0.6577368243210058,0.4163006137776751,0.0007261721361636415,0.12318400263644161,0.5,0.17486440323434443,3.3795022475955867
