,Truth,Coef,Std.Err,z,P-value,[0.025,0.975]
X1,-1.5,-0.4144499217748529,0.10831429798726391,-3.8263639194115058,0.00013004998801944873,-0.6267420465151626,-0.20215779703454317
X2,0.1,-0.17735963828056528,0.22388172955931526,-0.7922023768070614,0.4282426829332612,-0.616159768474559,0.2614404919134285
X3,-0.5,-0.5514975503768926,0.16382283198352715,-3.3664266677574424,0.0007614882586371651,-0.8725844034426544,-0.23041069731113084
X4,-0.3,-0.22277571503681837,0.13829616085809676,-1.6108597205775261,0.10721030095491824,-0.49383121165689714,0.048279781583260406
X5,0.4,0.3291586623701406,0.14057302688095347,2.341549226573131,0.019203893290191405,0.05364059031243951,0.6046767344278416
X6,-0.2,-0.12658763184724836,0.06871110490284323,-1.842316930083455,0.06542880475781102,-0.2612589238570446,0.008083660162547857
X7,-0.25,-0.17683198679751885,0.0463631684632504,-3.8140617360455877,0.00013670129503761866,-0.26770212791142495,-0.08596184568361274
X8,0.35,0.5690996108547814,0.23475665252094632,2.4242107933618757,0.015341697542280085,0.1089850231532174,1.0292141985563454
X9,-0.1,-0.020365663110978365,0.17040067281396784,-0.1195163303915604,0.9048663029849103,-0.35434484740213407,0.3136135211801773
X10,0.5,0.40913582406308135,0.11673521627396193,3.5048191721587627,0.00045691751319405284,0.18033900263390185,0.6379326454922609
