,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,0.962974263130512,0.7483136123864336,8.345053771781942e-12,0.10952275181793059,-1.5,0.5336529616423551,6.832494618382324
X2,0.2524292288324639,-0.17750752588251065,0.4183953815733874,0.21935951615181426,0.1,-0.6074442805974851,-0.809208230381313
X3,0.2781282521981251,-0.006578498116875209,0.9638782556778198,0.1452612141421987,-0.5,-0.29128524843187553,-0.045287368384759635
X4,-0.4024083371384254,-0.6652185534258589,7.012716105691526e-07,0.1340893079094481,-0.3,-0.9280287697132924,-4.961011163359035
X5,0.6330819575342981,0.373218862677265,0.004878837755761473,0.13258564690832744,0.4,0.11335576782023193,2.814926588059087
X6,0.03698070700453013,-0.0966784481534387,0.15628341004755594,0.06819469906486487,-0.2,-0.23033760331140754,-1.417682744834476
X7,-0.05992918642591048,-0.1463739681668074,0.0009042475563706572,0.04410529057722331,-0.25,-0.2328187499077043,-3.318739458490209
X8,0.5762042713772116,0.1145493650162931,0.6267393528786078,0.2355425438227021,0.35,-0.3471055413446254,0.486321337781411
X9,0.13814568031031318,-0.19276647578956366,0.25356247595961223,0.16883583377035336,-0.1,-0.5236786318894405,-1.1417391171341045
X10,0.7190248161292859,0.4868472070257241,3.9600592310215185e-05,0.11846013962683082,0.5,0.25466959792216226,4.10979768012577
