,Truth,Coef,Std.Err,z,P-value,[0.025,0.975]
X1,-1.5,427.37999953080947,275988024.6097263,1.548545449155506e-06,0.9999987644394944,-540926165.2861781,540927020.0461771
X2,0.1,1644.3767050249317,7494573200.537967,2.1940898581214697e-07,0.9999998249369577,-14689092024.04249,14689095312.7959
X3,-0.5,498.86828059808454,195027950.17393482,2.557932235626591e-06,0.9999979590653616,-382247262.4664254,382248260.2029866
X4,-0.3,-1181.1020303190514,593121488.0254456,-1.9913323900151478e-06,0.9999984111466306,-1162497945.2583346,1162495583.054274
X5,0.4,2340.3685457117695,714756679.0588795,3.2743570144644664e-06,0.9999973874410916,-1400895019.346412,1400899700.0835035
X6,-0.2,-1064.3660562721577,473827017.96976584,-2.2463177824529906e-06,0.9999982076977227,-928684961.8141505,928682833.0820378
X7,-0.25,708.1052570967258,229335659.82384452,3.0876369494418357e-06,0.9999975364221487,-449488929.0657245,449490345.2762387
X8,0.35,4713.8182008995955,582963910.3442024,8.085952007074316e-06,0.9999935483437342,-1142583563.7556634,1142592991.392065
X9,-0.1,4730.171852005299,872625937.5749766,5.420617985697772e-06,0.9999956749725992,-1710310692.9413493,1710320153.2850535
X10,0.5,-1286.9069622268516,356077038.1390418,-3.614125103243353e-06,0.9999971163453794,-697899462.8861111,697896889.0721866
