,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,-0.3156943640656149,-0.5239301577408159,8.166192526810278e-07,0.10624470330842861,-1.5,-0.7321659514160168,-4.9313532009200065
X2,0.5573687700899886,0.07467019980543706,0.7617426635201816,0.24627930425484937,0.1,-0.40802837047911455,0.3031931571812809
X3,-0.005890871169678458,-0.3086725237944212,0.04570617262038456,0.15448327246048538,-0.5,-0.611454176419164,-1.9980967445739166
X4,0.0794489347235266,-0.1925525957833492,0.16529603675774984,0.13877884007404004,-0.3,-0.464554126290225,-1.3874780599161967
X5,0.5680803390781578,0.2811817059557431,0.05474324480075614,0.14637954223772207,0.4,-0.005716927166671604,1.920908493477188
X6,-0.09603176867879212,-0.2383255205288057,0.0010281355882818582,0.07260018645751329,-0.2,-0.3806192723788193,-3.2827122374992435
X7,-0.12410381464738375,-0.21961990314065752,6.589316961179216e-06,0.04873359331767,-0.25,-0.3151359916339313,-4.506540318278295
X8,0.7338121322709221,0.2710586712875368,0.25094691832880467,0.2361030411698303,0.35,-0.19169478969584847,1.1480524348373924
X9,0.05191345207601894,-0.29357100386663537,0.09582213870627647,0.17627081718983323,-0.1,-0.6390554598092897,-1.6654543760949199
X10,0.7730305166471854,0.536688884114807,8.558209029742837e-06,0.12058468039840443,0.5,0.3003472515824286,4.450721951923077
