,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,-0.4690138286407487,-0.5651818121893314,1.0612618144996093e-30,0.04906619894476769,-1.5,-0.6613497957379141,-11.518760864796947
X2,0.15309451971253296,-0.05443757612099831,0.6071704925717081,0.10588566720283192,0.1,-0.2619696719545296,-0.5141165708170782
X3,-0.3527284673154513,-0.4926467179195689,5.165336553493969e-12,0.07138817376447605,-0.5,-0.6325649685236865,-6.900957006477144
X4,-0.19506780472924143,-0.3196698085633427,4.947424887914075e-07,0.0635736186144752,-0.3,-0.44427181239744395,-5.028340615655257
X5,0.5837515797182841,0.4597723357172548,3.6362939812097325e-13,0.063255878169716,0.4,0.3357930917162255,7.268452340250215
X6,-0.06799471788479636,-0.13050696117510785,4.27997916983215e-05,0.03189458749768439,-0.2,-0.19301920446541934,-4.091821572691069
X7,-0.15891408695921472,-0.20204075302679378,4.228339967069784e-20,0.02200380520641148,-0.25,-0.24516741909437284,-9.18208242308576
X8,0.5240165209540901,0.31092736760486456,0.004238199072294612,0.10872095270587907,0.35,0.09783821425563899,2.859866105533595
X9,0.030795608048907616,-0.12371929595310914,0.11657032409307469,0.078835582695405,-0.1,-0.2782341999551259,-1.569333183356051
X10,0.6355898211729953,0.5267873703875944,2.3207498645095897e-21,0.05551247409921863,0.5,0.4179849196021934,9.48953147802521
