,Precision,Recall,True negative rate,Accuracy
X1,0.70625,1.0,0.0,0.70625
X2,0.08333333333333333,1.0,0.26666666666666666,0.3125
X3,0.575,0.9857142857142858,0.43333333333333335,0.675
X4,0.4609375,1.0,0.31683168316831684,0.56875
X5,0.5303030303030303,0.9859154929577465,0.30337078651685395,0.60625
X6,0.4375,1.0,0.0,0.4375
X7,0.65625,1.0,0.0,0.65625
X8,0.3,1.0,0.3225806451612903,0.475
X9,0.15,1.0,0.28169014084507044,0.3625
X10,0.5316455696202531,1.0,0.02631578947368421,0.5375
